 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.1.64:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [30/Nov/2024 18:48:18] "GET /api/data?date=2024-11-27&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:20] "GET /api/data?date=2024-11-26&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:20] "GET /api/data?date=2024-11-25&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:22] "GET /api/data?date=2024-11-24&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:24] "GET /api/data?date=2024-11-23&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:24] "GET /api/data?date=2024-11-22&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:25] "GET /api/data?date=2024-11-21&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:25] "GET /api/data?date=2024-11-20&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:26] "GET /api/data?date=2024-11-19&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:26] "GET /api/data?date=2024-11-18&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:27] "GET /api/data?date=2024-11-11&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:28] "GET /api/data?date=2024-11-12&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:28] "GET /api/data?date=2024-11-13&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:29] "GET /api/data?date=2024-11-14&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:29] "GET /api/data?date=2024-11-15&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:30] "GET /api/data?date=2024-11-16&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:30] "GET /api/data?date=2024-11-17&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:31] "GET /api/data?date=2024-11-16&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:32] "GET /api/data?date=2024-11-09&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:32] "GET /api/data?date=2024-11-10&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:33] "GET /api/data?date=2024-11-08&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:34] "GET /api/data?date=2024-11-07&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:35] "GET /api/data?date=2024-11-06&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:35] "GET /api/data?date=2024-11-05&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:36] "GET /api/data?date=2024-11-04&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:37] "GET /api/data?date=2024-11-01&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:37] "GET /api/data?date=2024-11-02&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:37] "GET /api/data?date=2024-11-03&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:38] "GET /api/data?date=2024-11-10&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:39] "GET /api/data?date=2024-11-09&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:39] "GET /api/data?date=2024-11-17&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:41] "GET /api/data?date=2024-10-05&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:41] "GET /api/data?date=2024-10-19&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:42] "GET /api/data?date=2024-10-16&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:42] "GET /api/data?date=2024-10-10&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:43] "GET /api/data?date=2024-10-04&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:43] "GET /api/data?date=2024-10-05&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:44] "GET /api/data?date=2024-10-06&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:44] "GET /api/data?date=2024-10-13&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:45] "GET /api/data?date=2024-10-12&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:45] "GET /api/data?date=2024-10-19&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:46] "GET /api/data?date=2024-10-20&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:46] "GET /api/data?date=2024-10-27&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:47] "GET /api/data?date=2024-10-26&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:47] "GET /api/data?date=2024-10-25&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:47] "GET /api/data?date=2024-10-24&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:48] "GET /api/data?date=2024-10-21&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:48] "GET /api/data?date=2024-10-07&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:49] "GET /api/data?date=2024-10-12&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:50] "GET /api/data?date=2024-09-06&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:50] "GET /api/data?date=2024-09-20&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:51] "GET /api/data?date=2024-09-27&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:54] "GET /api/data?date=2024-10-24&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 18:48:56] "GET /api/data?date=2024-09-27&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:56] "GET /api/data?date=2024-09-28&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 18:48:56] "GET /api/data?date=2024-09-26&index=Euro%20Stoxx%2050 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 20:11:29] "GET /api/data?date=2024-10-01&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:21] "GET /api/data?date=2024-10-01&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:21] "GET /api/data?date=2024-10-02&index=S%26P+500 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 20:12:21] "GET /api/data?date=2024-10-03&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:21] "GET /api/data?date=2024-10-04&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:21] "GET /api/data?date=2024-10-07&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:21] "GET /api/data?date=2024-10-08&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:21] "GET /api/data?date=2024-10-09&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:22] "GET /api/data?date=2024-10-10&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:22] "GET /api/data?date=2024-10-11&index=S%26P+500 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 20:12:22] "GET /api/data?date=2024-10-14&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:12:22] "GET /api/data?date=2024-10-15&index=S%26P+500 HTTP/1.1" 200 -
